Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,SEASON_END,3P%,Unnamed: 4,PLAYER_NAME
1,707,4,2024-10-28,HOU,@,SAS,"W, 106-101",,13:52,3.0,3.0,1.000,0.0,0.0,3.0,3.0,1.000,1.000,0.0,1.0,.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,3.8,11,2025,,,Steven Adams
2,708,5,2024-10-31,HOU,@,DAL,"W, 108-102",,09:58,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,-4,2025,,,Steven Adams
3,709,7,2024-11-04,HOU,,NYK,"W, 109-97",,13:39,1.0,4.0,.250,0.0,0.0,1.0,4.0,.250,.250,2.0,4.0,.500,3.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,4.0,4.2,-6,2025,,,Steven Adams
4,710,9,2024-11-08,HOU,@,OKC,"L, 107-126",,15:31,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,1.0,3.0,.333,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,5.0,2.9,-11,2025,,,Steven Adams
5,711,11,2024-11-11,HOU,,WAS,"W, 107-92",,15:11,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,0.0,4.0,2.0,2.0,0.2,-4,2025,,,Steven Adams
6,712,13,2024-11-15,HOU,,LAC,"W, 125-104",,06:57,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.4,-10,2025,,,Steven Adams
7,713,15,2024-11-18,HOU,@,MIL,"L, 100-101",,05:29,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-12,2025,,,Steven Adams
8,714,17,2024-11-22,HOU,,POR,"W, 116-88",,14:59,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,-0.4,15,2025,,,Steven Adams
9,715,20,2024-11-27,HOU,@,PHI,"W, 122-115 (OT)",,07:00,0.0,2.0,.000,0.0,0.0,0.0,2.0,.000,.000,2.0,4.0,.500,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.7,4,2025,,,Steven Adams
10,716,21,2024-12-01,HOU,,OKC,"W, 119-116",,03:30,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,5,2025,,,Steven Adams
11,717,22,2024-12-03,HOU,@,SAC,"L, 111-120",,10:31,0.0,1.0,.000,0.0,0.0,0.0,1.0,.000,.000,1.0,2.0,.500,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1,9,2025,,,Steven Adams
12,718,23,2024-12-05,HOU,@,GSW,"L, 93-99",,17:35,3.0,4.0,.750,0.0,0.0,3.0,4.0,.750,.750,0.0,0.0,,4.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,6.0,9.8,10,2025,,,Steven Adams
13,719,24,2024-12-08,HOU,@,LAC,"W, 117-106",,09:56,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,0.0,2.0,.000,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,3.2,0,2025,,,Steven Adams
14,720,26,2024-12-14,HOU,@,OKC,"L, 96-111",,06:20,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,2.0,4.0,.500,3.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,4.2,-1,2025,,,Steven Adams
15,721,27,2024-12-19,HOU,,NOP,"W, 133-113",,10:19,1.0,1.0,1.000,0.0,0.0,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,-7,2025,,,Steven Adams
16,722,29,2024-12-23,HOU,@,CHO,"W, 114-101",,11:35,1.0,1.0,1.000,0.0,0.0,1.0,1.0,1.000,1.000,0.0,2.0,.000,4.0,4.0,8.0,3.0,0.0,1.0,0.0,2.0,2.0,6.9,4,2025,,,Steven Adams
17,723,30,2024-12-26,HOU,@,NOP,"W, 128-111",,10:48,1.0,1.0,1.000,0.0,0.0,1.0,1.0,1.000,1.000,0.0,1.0,.000,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,2.1,9,2025,,,Steven Adams
18,724,31,2024-12-27,HOU,,MIN,"L, 112-113",,02:48,0.0,1.0,.000,0.0,0.0,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7,0,2025,,,Steven Adams
19,725,32,2024-12-29,HOU,,MIA,"L, 100-104",,12:29,2.0,3.0,.667,0.0,0.0,2.0,3.0,.667,.667,0.0,0.0,,5.0,4.0,9.0,3.0,0.0,0.0,0.0,1.0,4.0,9.1,-6,2025,,,Steven Adams
20,726,33,2025-01-01,HOU,,DAL,"W, 110-99",,07:23,2.0,3.0,.667,0.0,0.0,2.0,3.0,.667,.667,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.3,-2,2025,,,Steven Adams
21,727,34,2025-01-03,HOU,,BOS,"L, 86-109",,06:51,2.0,4.0,.500,0.0,0.0,2.0,4.0,.500,.500,2.0,2.0,1.000,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,7.5,8,2025,,,Steven Adams
22,728,35,2025-01-05,HOU,,LAL,"W, 119-115",,16:34,3.0,4.0,.750,0.0,0.0,3.0,4.0,.750,.750,2.0,4.0,.500,7.0,2.0,9.0,1.0,1.0,1.0,0.0,2.0,8.0,12.7,17,2025,,,Steven Adams
23,729,36,2025-01-07,HOU,@,WAS,"W, 135-112",,11:25,0.0,1.0,.000,0.0,0.0,0.0,1.0,.000,.000,0.0,2.0,.000,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.3,-7,2025,,,Steven Adams
24,730,37,2025-01-09,HOU,@,MEM,"W, 119-115",,12:26,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,.000,4.0,5.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.7,0,2025,,,Steven Adams
25,731,38,2025-01-13,HOU,,MEM,"W, 120-118",,13:03,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,0.0,1.0,.000,6.0,1.0,7.0,1.0,0.0,1.0,2.0,0.0,2.0,4.5,3,2025,,,Steven Adams
26,732,39,2025-01-15,HOU,@,DEN,"W, 128-108",,07:07,1.0,1.0,1.000,0.0,0.0,1.0,1.0,1.000,1.000,0.0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,3.8,6,2025,,,Steven Adams
27,733,40,2025-01-16,HOU,@,SAC,"L, 127-132",,14:15,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,1.0,2.0,.500,1.0,4.0,5.0,2.0,0.0,2.0,0.0,0.0,5.0,8.7,16,2025,,,Steven Adams
28,734,41,2025-01-18,HOU,@,POR,"W, 125-103",,17:11,1.0,4.0,.250,0.0,0.0,1.0,4.0,.250,.250,0.0,0.0,,5.0,4.0,9.0,2.0,1.0,1.0,0.0,2.0,2.0,6.6,13,2025,,,Steven Adams
29,735,43,2025-01-22,HOU,,CLE,"W, 109-108",,18:40,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,1.0,4.0,.250,5.0,6.0,11.0,2.0,0.0,2.0,1.0,1.0,3.0,7.5,-2,2025,,,Steven Adams
30,736,44,2025-01-25,HOU,@,CLE,"W, 135-131",,14:59,4.0,6.0,.667,0.0,0.0,4.0,6.0,.667,.667,6.0,9.0,.667,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,14.0,14.3,7,2025,,,Steven Adams
31,737,45,2025-01-27,HOU,@,BOS,"W, 114-112",,13:37,2.0,3.0,.667,0.0,0.0,2.0,3.0,.667,.667,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,2.3,-11,2025,,,Steven Adams
32,738,47,2025-01-30,HOU,@,MEM,"L, 119-120",*,23:01,4.0,9.0,.444,0.0,0.0,4.0,9.0,.444,.444,3.0,3.0,1.000,7.0,3.0,10.0,3.0,1.0,0.0,1.0,2.0,11.0,13.4,-6,2025,,,Steven Adams
33,739,48,2025-02-01,HOU,,BRK,"L, 98-110",*,24:59,4.0,5.0,.800,0.0,0.0,4.0,5.0,.800,.800,3.0,6.0,.500,2.0,5.0,7.0,0.0,1.0,3.0,0.0,2.0,11.0,13.1,3,2025,,,Steven Adams
34,740,49,2025-02-03,HOU,@,NYK,"L, 118-124",,26:29,4.0,9.0,.444,0.0,0.0,4.0,9.0,.444,.444,0.0,0.0,,7.0,6.0,13.0,1.0,0.0,1.0,1.0,3.0,8.0,9.2,18,2025,,,Steven Adams
35,741,50,2025-02-04,HOU,@,BRK,"L, 97-99",,13:24,2.0,4.0,.500,0.0,0.0,2.0,4.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.6,-5,2025,,,Steven Adams
36,742,52,2025-02-08,HOU,@,DAL,"L, 105-116",,22:18,1.0,9.0,.111,0.0,0.0,1.0,9.0,.111,.111,0.0,0.0,,9.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,4,2025,,,Steven Adams
37,743,54,2025-02-12,HOU,,PHO,"W, 119-111",,09:34,2.0,5.0,.400,0.0,0.0,2.0,5.0,.400,.400,1.0,3.0,.333,5.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,4.3,-5,2025,,,Steven Adams
38,744,55,2025-02-13,HOU,,GSW,"L, 98-105",,05:38,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,-3,2025,,,Steven Adams
39,745,56,2025-02-21,HOU,,MIN,"W, 121-115",,04:39,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-10,2025,,,Steven Adams
40,746,58,2025-02-25,HOU,,MIL,"W, 100-97",,00:00,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025,,,Steven Adams
41,747,59,2025-02-26,HOU,,SAS,"W, 118-106",,18:57,2.0,6.0,.333,0.0,1.0,2.0,5.0,.400,.333,0.0,0.0,,2.0,3.0,5.0,5.0,2.0,2.0,1.0,0.0,4.0,8.8,6,2025,.000,,Steven Adams
42,748,60,2025-03-01,HOU,,SAC,"L, 103-113",,07:45,1.0,3.0,.333,0.0,0.0,1.0,3.0,.333,.333,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-6,2025,,,Steven Adams
43,749,62,2025-03-04,HOU,@,IND,"L, 102-115",,15:29,1.0,3.0,.333,0.0,0.0,1.0,3.0,.333,.333,1.0,2.0,.500,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.3,0,2025,,,Steven Adams
44,750,63,2025-03-06,HOU,@,NOP,"W, 109-97",,18:44,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,1.0,2.0,.500,3.0,5.0,8.0,6.0,1.0,0.0,2.0,3.0,3.0,7.2,17,2025,,,Steven Adams
45,751,64,2025-03-08,HOU,,NOP,"W, 146-117",,18:16,3.0,5.0,.600,0.0,0.0,3.0,5.0,.600,.600,0.0,0.0,,3.0,5.0,8.0,2.0,2.0,2.0,1.0,2.0,6.0,10.3,16,2025,,,Steven Adams
46,752,65,2025-03-10,HOU,,ORL,"W, 97-84",,23:14,5.0,6.0,.833,0.0,0.0,5.0,6.0,.833,.833,1.0,3.0,.333,11.0,6.0,17.0,1.0,0.0,0.0,3.0,0.0,11.0,15.2,17,2025,,,Steven Adams
47,753,66,2025-03-12,HOU,,PHO,"W, 111-104",,11:17,0.0,1.0,.000,0.0,0.0,0.0,1.0,.000,.000,1.0,2.0,.500,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.2,1,2025,,,Steven Adams
48,754,68,2025-03-15,HOU,,CHI,"W, 117-114",,22:27,2.0,4.0,.500,0.0,0.0,2.0,4.0,.500,.500,0.0,4.0,.000,4.0,5.0,9.0,3.0,1.0,0.0,1.0,1.0,4.0,6.4,3,2025,,,Steven Adams
49,755,69,2025-03-17,HOU,,PHI,"W, 144-137 (OT)",,00:02,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2025,,,Steven Adams
50,756,70,2025-03-19,HOU,@,ORL,"W, 116-108",,22:49,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,1.0,1.0,1.000,1.0,5.0,6.0,0.0,1.0,1.0,4.0,1.0,3.0,1.5,22,2025,,,Steven Adams
51,757,71,2025-03-21,HOU,@,MIA,"W, 102-98",,20:30,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,0.0,2.0,.000,4.0,4.0,8.0,1.0,1.0,0.0,1.0,2.0,4.0,6.5,7,2025,,,Steven Adams
52,758,72,2025-03-23,HOU,,DEN,"L, 111-116",,22:26,6.0,10.0,.600,0.0,0.0,6.0,10.0,.600,.600,2.0,4.0,.500,10.0,2.0,12.0,2.0,0.0,3.0,1.0,3.0,14.0,17.5,9,2025,,,Steven Adams
53,759,73,2025-03-25,HOU,,ATL,"W, 121-114",,25:28,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,3.0,4.0,.750,4.0,3.0,7.0,1.0,0.0,0.0,1.0,2.0,7.0,8.6,19,2025,,,Steven Adams
54,760,75,2025-03-30,HOU,@,PHO,"W, 148-109",,12:01,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,2.0,2.0,1.000,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,6.7,21,2025,,,Steven Adams
55,761,76,2025-03-31,HOU,@,LAL,"L, 98-104",,15:43,1.0,2.0,.500,0.0,1.0,1.0,1.0,1.000,.500,2.0,2.0,1.000,2.0,5.0,7.0,0.0,1.0,0.0,3.0,0.0,4.0,3.9,-3,2025,.000,,Steven Adams
56,762,78,2025-04-04,HOU,,OKC,"W, 125-111",*,22:57,4.0,7.0,.571,0.0,0.0,4.0,7.0,.571,.571,0.0,0.0,,6.0,6.0,12.0,0.0,2.0,1.0,0.0,2.0,8.0,12.6,7,2025,,,Steven Adams
57,763,79,2025-04-06,HOU,@,GSW,"W, 106-96",,16:52,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,0.0,0.0,,2.0,6.0,8.0,1.0,0.0,2.0,0.0,1.0,2.0,5.9,7,2025,,,Steven Adams
58,764,82,2025-04-13,HOU,,DEN,"L, 111-126",,17:13,2.0,4.0,.500,0.0,0.0,2.0,4.0,.500,.500,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,3.5,-23,2025,,,Steven Adams
1,765,1,2025-10-21,HOU,@,OKC,"L, 124-125 (2OT)",*,36:30,1.0,4.0,.250,0.0,0.0,1.0,4.0,.250,.250,2.0,2.0,1.000,5.0,8.0,13.0,3.0,0.0,0.0,3.0,4.0,4.0,5.0,2,2026,,,Steven Adams
2,766,2,2025-10-24,HOU,,DET,"L, 111-115",*,25:14,4.0,4.0,1.000,0.0,0.0,4.0,4.0,1.000,1.000,3.0,4.0,.750,6.0,4.0,10.0,0.0,3.0,0.0,1.0,2.0,11.0,16.0,-4,2026,,,Steven Adams
3,767,3,2025-10-27,HOU,,BRK,"W, 137-109",,16:04,0.0,1.0,.000,0.0,0.0,0.0,1.0,.000,.000,4.0,4.0,1.000,5.0,3.0,8.0,1.0,0.0,1.0,1.0,1.0,4.0,7.7,20,2026,,,Steven Adams
4,768,4,2025-10-29,HOU,@,TOR,"W, 139-121",,19:42,5.0,6.0,.833,0.0,0.0,5.0,6.0,.833,.833,2.0,2.0,1.000,8.0,4.0,12.0,2.0,1.0,1.0,1.0,3.0,12.0,17.5,14,2026,,,Steven Adams
5,769,5,2025-11-01,HOU,@,BOS,"W, 128-101",,14:27,2.0,3.0,.667,0.0,0.0,2.0,3.0,.667,.667,0.0,0.0,,3.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,4.0,6.1,13,2026,,,Steven Adams
6,770,6,2025-11-03,HOU,,DAL,"W, 110-102",,23:08,2.0,3.0,.667,0.0,0.0,2.0,3.0,.667,.667,0.0,2.0,.000,3.0,6.0,9.0,1.0,2.0,2.0,1.0,3.0,4.0,7.7,6,2026,,,Steven Adams
7,771,8,2025-11-07,HOU,@,SAS,"L, 110-121",,20:05,1.0,4.0,.250,0.0,0.0,1.0,4.0,.250,.250,1.0,1.0,1.000,3.0,5.0,8.0,1.0,1.0,0.0,0.0,2.0,3.0,5.1,-7,2026,,,Steven Adams
8,772,9,2025-11-09,HOU,@,MIL,"W, 122-115",,22:18,5.0,7.0,.714,0.0,0.0,5.0,7.0,.714,.714,2.0,2.0,1.000,5.0,1.0,6.0,1.0,0.0,0.0,1.0,2.0,12.0,11.8,-3,2026,,,Steven Adams
